월,요일,사고건수,사망자수,중상자수,경상자수,부상신고자수,
01월,일,2232,67,1080,2625,159,
01월,월,2535,55,1207,2627,142,
01월,화,2617,67,1253,2664,135,
01월,수,2231,62,1019,2274,114,
01월,목,2453,66,1078,2338,135,
01월,금,2474,47,1105,2509,123,
01월,토,2276,54,1069,2489,136,
02월,일,1927,47,881,2322,130,
02월,월,2323,71,1051,2241,133,
02월,화,2338,64,1109,2349,156,
02월,수,2819,61,1309,2781,191,
02월,목,2281,52,1038,2232,117,
02월,금,2458,56,1087,2547,191,
02월,토,2510,42,1169,2815,149,
03월,일,1836,38,856,2199,126,
03월,월,2339,55,1086,2211,155,
03월,화,2314,64,1003,2204,124,
03월,수,2270,41,1061,2167,106,
03월,목,2794,57,1302,2749,163,
03월,금,3501,58,1541,3586,195,
03월,토,3201,90,1465,3397,203,
04월,일,2844,84,1365,3181,216,
04월,월,3181,93,1431,3008,191,
04월,화,2625,49,1103,2549,167,
04월,수,2507,57,1095,2504,191,
04월,목,2600,59,1113,2537,159,
04월,금,2658,60,1194,2580,168,
04월,토,2957,81,1355,3293,228,
05월,일,2185,54,1162,2535,182,
05월,월,2553,54,1219,2515,175,
05월,화,3260,76,1541,3053,209,
05월,수,3115,62,1404,2914,197,
05월,목,3125,70,1459,2929,211,
05월,금,2732,55,1293,2560,143,
05월,토,2702,73,1307,2975,180,
06월,일,2093,53,1027,2355,173,
06월,월,2428,69,1116,2191,167,
06월,화,2465,63,1129,2213,181,
06월,수,2443,66,1125,2272,157,
06월,목,2433,50,1136,2171,157,
06월,금,3620,93,1619,3446,218,
06월,토,3372,82,1601,3602,258,
07월,일,2711,63,1281,3062,226,
07월,월,2970,61,1355,2779,199,
07월,화,3045,66,1321,2943,214,
07월,수,2512,48,1102,2417,174,
07월,목,2554,60,1114,2622,176,
07월,금,2761,50,1166,2742,193,
07월,토,2780,68,1292,3054,210,
08월,일,2047,48,997,2458,168,
08월,월,2420,52,1001,2473,182,
08월,화,2368,48,1039,2461,174,
08월,수,3003,59,1323,2995,234,
08월,목,2917,65,1259,3058,207,
08월,금,3280,82,1448,3351,233,
08월,토,2372,55,1086,2718,186,
09월,일,2726,61,1240,3399,208,
09월,월,2509,60,1076,2509,158,
09월,화,2684,76,1142,2572,190,
09월,수,2435,65,1024,2348,187,
09월,목,2718,81,1217,2443,186,
09월,금,2873,69,1278,2814,194,
09월,토,3289,74,1450,3556,271,
10월,일,2206,65,1045,2506,186,
10월,월,3043,77,1347,3007,217,
10월,화,3197,86,1447,3044,217,
10월,수,3080,87,1475,2823,205,
10월,목,2574,69,1195,2302,180,
10월,금,2688,76,1197,2613,196,
10월,토,2769,73,1314,3009,234,
11월,일,2447,57,1174,2826,215,
11월,월,2610,68,1259,2504,189,
11월,화,2527,64,1083,2279,168,
11월,수,2495,62,1132,2283,144,
11월,목,3092,89,1391,2894,222,
11월,금,3541,81,1562,3500,241,
11월,토,3038,87,1330,3423,235,
12월,일,2428,61,1166,2966,180,
12월,월,2777,64,1217,2865,167,
12월,화,2197,56,996,2195,175,
12월,수,2367,57,981,2428,163,
12월,목,2302,51,1020,2361,167,
12월,금,2735,69,1306,2912,179,
12월,토,2942,65,1292,3367,211,
,,,,,,,
